05/10/2019 03:19:18 PM INFO    : Predicting one face using svm model took 0.0001838207244873047 seconds.
05/10/2019 03:19:18 PM INFO    : Predicting one face using svm model took 0.0001857280731201172 seconds.
05/10/2019 03:19:18 PM INFO    : Predicting one face using svm model took 0.0003261566162109375 seconds.
05/10/2019 03:19:19 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 03:19:19 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 03:19:19 PM INFO    : Predicting one face using svm model took 0.00019669532775878906 seconds.
05/10/2019 03:19:20 PM INFO    : Predicting one face using svm model took 0.00018906593322753906 seconds.
05/10/2019 03:59:07 PM INFO    : Predicting one face using svm model took 0.0003769397735595703 seconds.
05/10/2019 03:59:07 PM INFO    : Predicting one face using svm model took 0.0001862049102783203 seconds.
05/10/2019 03:59:08 PM INFO    : Predicting one face using svm model took 0.00019788742065429688 seconds.
05/10/2019 03:59:08 PM INFO    : Predicting one face using svm model took 0.00020003318786621094 seconds.
05/10/2019 03:59:08 PM INFO    : Predicting one face using svm model took 0.00019097328186035156 seconds.
05/10/2019 03:59:09 PM INFO    : Predicting one face using svm model took 0.00018906593322753906 seconds.
05/10/2019 03:59:09 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:59:09 PM INFO    : Predicting one face using svm model took 0.0002028942108154297 seconds.
05/10/2019 03:59:10 PM INFO    : Predicting one face using svm model took 0.00019621849060058594 seconds.
05/10/2019 03:59:10 PM INFO    : Predicting one face using svm model took 0.00026297569274902344 seconds.
05/10/2019 03:59:10 PM INFO    : Predicting one face using svm model took 0.00019502639770507812 seconds.
05/10/2019 03:59:11 PM INFO    : Predicting one face using svm model took 0.00019025802612304688 seconds.
05/10/2019 03:59:11 PM INFO    : Predicting one face using svm model took 0.00020813941955566406 seconds.
05/10/2019 03:59:11 PM INFO    : Predicting one face using svm model took 0.0002968311309814453 seconds.
05/10/2019 03:59:12 PM INFO    : Predicting one face using svm model took 0.00020599365234375 seconds.
05/10/2019 03:59:12 PM INFO    : Predicting one face using svm model took 0.0001862049102783203 seconds.
05/10/2019 03:59:12 PM INFO    : Predicting one face using svm model took 0.0004153251647949219 seconds.
05/10/2019 03:59:13 PM INFO    : Predicting one face using svm model took 0.0001900196075439453 seconds.
05/10/2019 03:59:13 PM INFO    : Predicting one face using svm model took 0.0001990795135498047 seconds.
05/10/2019 03:59:13 PM INFO    : Predicting one face using svm model took 0.0001938343048095703 seconds.
05/10/2019 03:59:14 PM INFO    : Predicting one face using svm model took 0.00021505355834960938 seconds.
05/10/2019 03:59:14 PM INFO    : Predicting one face using svm model took 0.0002238750457763672 seconds.
05/10/2019 03:59:14 PM INFO    : Predicting one face using svm model took 0.000186920166015625 seconds.
05/10/2019 03:59:26 PM INFO    : Predicting one face using svm model took 0.00019979476928710938 seconds.
05/10/2019 03:59:26 PM INFO    : Predicting one face using svm model took 0.0002911090850830078 seconds.
05/10/2019 03:59:27 PM INFO    : Predicting one face using svm model took 0.00020813941955566406 seconds.
05/10/2019 03:59:27 PM INFO    : Predicting one face using svm model took 0.00036597251892089844 seconds.
05/10/2019 03:59:27 PM INFO    : Predicting one face using svm model took 0.00018477439880371094 seconds.
05/10/2019 03:59:28 PM INFO    : Predicting one face using svm model took 0.0002009868621826172 seconds.
05/10/2019 03:59:28 PM INFO    : Predicting one face using svm model took 0.0002357959747314453 seconds.
05/10/2019 03:59:28 PM INFO    : Predicting one face using svm model took 0.00018715858459472656 seconds.
05/10/2019 03:59:29 PM INFO    : Predicting one face using svm model took 0.0002899169921875 seconds.
05/10/2019 03:59:29 PM INFO    : Predicting one face using svm model took 0.000240325927734375 seconds.
05/10/2019 03:59:32 PM INFO    : Predicting one face using svm model took 0.00019621849060058594 seconds.
05/10/2019 03:59:32 PM INFO    : Predicting one face using svm model took 0.0001819133758544922 seconds.
05/10/2019 03:59:33 PM INFO    : Predicting one face using svm model took 0.0006158351898193359 seconds.
05/10/2019 03:59:33 PM INFO    : Predicting one face using svm model took 0.00019979476928710938 seconds.
05/10/2019 03:59:36 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
05/10/2019 04:59:16 PM INFO    : Loading pkl dataset took 0.007619142532348633 seconds.
05/10/2019 05:01:18 PM INFO    : Loading svm model took 0.0044939517974853516 seconds.
05/10/2019 05:01:19 PM INFO    : Predicting one face using svm model took 0.0002040863037109375 seconds.
05/10/2019 05:01:19 PM INFO    : Predicting one face using svm model took 0.7179017066955566 seconds.
05/10/2019 05:03:11 PM INFO    : Predicting one face using svm model took 0.0003037452697753906 seconds.
05/10/2019 05:03:12 PM INFO    : Predicting one face using svm model took 0.00020885467529296875 seconds.
05/10/2019 05:03:12 PM INFO    : Predicting one face using svm model took 0.00019884109497070312 seconds.
05/10/2019 05:03:12 PM INFO    : Predicting one face using svm model took 0.00026917457580566406 seconds.
05/10/2019 05:03:13 PM INFO    : Predicting one face using svm model took 0.00019311904907226562 seconds.
05/10/2019 05:03:13 PM INFO    : Predicting one face using svm model took 0.00018787384033203125 seconds.
